"행정구역별","유형별","항목","단위","2024 년",
"광진구","법인->개인","동(호)수[동(호)수]","동(호)수","476",
"광진구","법인->개인","면적[천㎡]","천㎡","35",
"광진구","법인->법인","동(호)수[동(호)수]","동(호)수","105",
"광진구","법인->법인","면적[천㎡]","천㎡","3",
"광진구","법인->기타","동(호)수[동(호)수]","동(호)수","50",
"광진구","법인->기타","면적[천㎡]","천㎡","2",
"광진구","기타->개인","동(호)수[동(호)수]","동(호)수","65",
"광진구","기타->개인","면적[천㎡]","천㎡","7",
"광진구","기타->법인","동(호)수[동(호)수]","동(호)수","1",
"광진구","기타->법인","면적[천㎡]","천㎡","0",
"광진구","기타->기타","동(호)수[동(호)수]","동(호)수","18",
"광진구","기타->기타","면적[천㎡]","천㎡","2",
"광진구","거래규모","동(호)수[동(호)수]","동(호)수","4389",
"광진구","거래규모","면적[천㎡]","천㎡","308",
"광진구","20㎡이하","동(호)수[동(호)수]","동(호)수","234",
"광진구","20㎡이하","면적[천㎡]","천㎡","3",
"광진구","21~40㎡","동(호)수[동(호)수]","동(호)수","1074",
"광진구","21~40㎡","면적[천㎡]","천㎡","32",
"광진구","41~60㎡","동(호)수[동(호)수]","동(호)수","1270",
"광진구","41~60㎡","면적[천㎡]","천㎡","66",
"광진구","61~85㎡","동(호)수[동(호)수]","동(호)수","1208",
"광진구","61~85㎡","면적[천㎡]","천㎡","97",
"광진구","86~100㎡","동(호)수[동(호)수]","동(호)수","26",
"광진구","86~100㎡","면적[천㎡]","천㎡","2",
"광진구","101~135㎡","동(호)수[동(호)수]","동(호)수","251",
"광진구","101~135㎡","면적[천㎡]","천㎡","30",
"광진구","136~165㎡","동(호)수[동(호)수]","동(호)수","131",
"광진구","136~165㎡","면적[천㎡]","천㎡","19",
"광진구","166~198㎡","동(호)수[동(호)수]","동(호)수","47",
"광진구","166~198㎡","면적[천㎡]","천㎡","8",
"광진구","198㎡초과","동(호)수[동(호)수]","동(호)수","148",
"광진구","198㎡초과","면적[천㎡]","천㎡","50",
"광진구","거래원인","동(호)수[동(호)수]","동(호)수","4389",
"광진구","거래원인","면적[천㎡]","천㎡","308",
"광진구","매매","동(호)수[동(호)수]","동(호)수","3371",
"광진구","매매","면적[천㎡]","천㎡","234",
"광진구","판결","동(호)수[동(호)수]","동(호)수","32",
"광진구","판결","면적[천㎡]","천㎡","3",
"광진구","교환","동(호)수[동(호)수]","동(호)수","11",
"광진구","교환","면적[천㎡]","천㎡","1",
"광진구","증여","동(호)수[동(호)수]","동(호)수","285",
"광진구","증여","면적[천㎡]","천㎡","21",
"광진구","분양권","동(호)수[동(호)수]","동(호)수","0",
"광진구","분양권","면적[천㎡]","천㎡","0",
"광진구","분양권전매","동(호)수[동(호)수]","동(호)수","89",
"광진구","분양권전매","면적[천㎡]","천㎡","9",
"광진구","기타","동(호)수[동(호)수]","동(호)수","0",
"광진구","기타","면적[천㎡]","천㎡","0",
"광진구","기타소유권이전","동(호)수[동(호)수]","동(호)수","601",
"광진구","기타소유권이전","면적[천㎡]","천㎡","40",
"광진구","주택유형","동(호)수[동(호)수]","동(호)수","4389",
"광진구","주택유형","면적[천㎡]","천㎡","308",
"광진구","단독주택","동(호)수[동(호)수]","동(호)수","139",
"광진구","단독주택","면적[천㎡]","천㎡","25",
"광진구","다가구주택","동(호)수[동(호)수]","동(호)수","113",
"광진구","다가구주택","면적[천㎡]","천㎡","34",
