행정구역별,유형별,항목,단위,2020 년,2021 년,2022 년,2023 년,2024 년
용산구,기타->개인,동(호)수[동(호)수],동(호)수,65,48,29,18,90
용산구,기타->개인,면적[천㎡],천㎡,7,4,2,2,9
용산구,기타->법인,동(호)수[동(호)수],동(호)수,6,3,2,1,1
용산구,기타->법인,면적[천㎡],천㎡,1,1,0,0,1
용산구,기타->기타,동(호)수[동(호)수],동(호)수,18,7,7,9,31
용산구,기타->기타,면적[천㎡],천㎡,2,1,0,2,1
용산구,거래규모,동(호)수[동(호)수],동(호)수,7622,4977,2945,2164,3025
용산구,거래규모,면적[천㎡],천㎡,628,443,206,167,249
용산구,20㎡이하,동(호)수[동(호)수],동(호)수,638,402,285,157,247
용산구,20㎡이하,면적[천㎡],천㎡,10,5,4,2,3
용산구,21~40㎡,동(호)수[동(호)수],동(호)수,1742,1414,1093,652,738
용산구,21~40㎡,면적[천㎡],천㎡,53,41,31,19,21
용산구,41~60㎡,동(호)수[동(호)수],동(호)수,2267,945,670,401,658
용산구,41~60㎡,면적[천㎡],천㎡,115,49,32,21,36
용산구,61~85㎡,동(호)수[동(호)수],동(호)수,1187,689,318,356,485
용산구,61~85㎡,면적[천㎡],천㎡,92,52,23,28,38
용산구,86~100㎡,동(호)수[동(호)수],동(호)수,195,107,53,51,74
용산구,86~100㎡,면적[천㎡],천㎡,18,10,5,5,7
용산구,101~135㎡,동(호)수[동(호)수],동(호)수,596,371,149,255,338
용산구,101~135㎡,면적[천㎡],천㎡,69,43,17,29,39
용산구,136~165㎡,동(호)수[동(호)수],동(호)수,362,212,109,97,181
용산구,136~165㎡,면적[천㎡],천㎡,53,31,16,15,27
용산구,166~198㎡,동(호)수[동(호)수],동(호)수,216,154,73,75,99
용산구,166~198㎡,면적[천㎡],천㎡,38,27,13,13,18
용산구,198㎡초과,동(호)수[동(호)수],동(호)수,419,683,195,120,205
용산구,198㎡초과,면적[천㎡],천㎡,179,184,63,36,61
용산구,거래원인,동(호)수[동(호)수],동(호)수,7622,4977,2945,2164,3025
용산구,거래원인,면적[천㎡],천㎡,628,443,206,167,249
용산구,매매,동(호)수[동(호)수],동(호)수,4085,3323,1305,1415,2311
용산구,매매,면적[천㎡],천㎡,373,354,126,122,203
용산구,판결,동(호)수[동(호)수],동(호)수,44,31,37,46,58
용산구,판결,면적[천㎡],천㎡,5,2,2,4,3
용산구,교환,동(호)수[동(호)수],동(호)수,8,3,8,6,9
용산구,교환,면적[천㎡],천㎡,1,0,1,1,1
용산구,증여,동(호)수[동(호)수],동(호)수,1319,830,710,210,259
용산구,증여,면적[천㎡],천㎡,158,60,47,17,19
용산구,분양권,동(호)수[동(호)수],동(호)수,,,,,0
용산구,분양권,면적[천㎡],천㎡,,,,,0
